
Exchange rates for seven 
countries,1977-1988

	Canada	France	Germany	Japan	Sweden	Switzer UK
1977	1.0633	4.9161	2.3236	268.62	4.4802	2.4065	1.7449	
1978	1.1405	4.5091	2.0097	210.39	4.5207	1.7907	1.9184	
1979	1.1713	4.2567	1.8343	219.02	4.2893	1.6644	2.1224	
1980	1.1693	4.2251	1.8175	226.63	4.2310	1.6772	2.3246	
1981	1.199	5.4397	2.2632	220.63	5.0660	1.9675	2.0243	
1982	1.2344	6.5794	2.4281	249.06	6.2839	2.0327	1.7480	
1983	1.2325	7.6204	2.5539	237.55	7.6718	2.1007	1.5159	
1984	1.2952	8.7356	2.8455	237.46	8.2708	2.3500	1.3368	
1985	1.3659	8.9800	2.942	238.47	8.6032	2.4552	1.2974	
1986	1.3896	6.9257	2.1705	168.35	7.1273	1.7979	1.4677	
1987	1.3259	6.0122	1.7981	144.60	6.3469	1.4918	1.6398	
1988	1.2306	5.9595	1.757	128.17	6.1370	1.4643	1.7813	
1989	1.1842	6.3802	1.8808	138.07	6.4559	1.6369	1.6382	
1990	1.1668	5.4467	1.6166	145.00	5.9231	1.3901	1.7841	
1991	1.146	5.6468	1.661	134.59	6.0521	1.4356	1.7674	
1992	1.2085	5.2935	1.5618	126.78	5.8258	1.4064	1.7663	
1993	1.2902	5.6669	1.6545	111.08	7.7956	1.4781	1.5016	
1994	1.3664	5.5459	1.6216	102.18	7.7161	1.3667	1.5319
1995	1.3725	4.9864	1.4321	 93.96	7.1406	1.1812	1.5785	
1996	1.3638	5.1158	1.5049	108.78	6.7082	1.2361	1.5607	
1997	1.3849	5.8393	1.7348	121.06	7.6446	1.4514	1.6376	
1998	1.4836	5.8995	1.7597	130.99	7.9522	1.4506	1.6573	
