Table 10.15

R	AGE	S	ED	EX0	EX1	LF
	
79.1	151	1	91	58	56	510	
163.5	143	0	113	103	95	583	
57.8	142	1	89	45	44	533	
196.9	136	0	121	149	141	577	
123.4	141	0	121	109	101	591	
68.2	121	0	110	118	115	547	
96.3	127	1	111	82	79	519	
155.5	131	1	109	115	109	542	
85.6	157	1	90	65	62	553	
70.5	140	0	118	71	68	632	
167.4	124	0	105	121	116	580	
84.9	134	0	108	75	71	595	
51.1	128	0	113	67	60	624	
66.4	135	0	117	62	61	595	
79.8	152	1	87	57	53	530	
94.6	142	1	88	81	77	497	
53.9	143	0	110	66	63	537	
92.9	135	1	104	123	115	537	
75	130	0	116	128	128	536	
122.5	125	0	108	113	105	567	
74.2	126	0	108	74	67	602	
43.9	157	1	89	47	44	512	
121.6	132	0	96	87	83	564	
96.8	131	0	116	78	73	574	
52.3	130	0	116	63	57	641	
199.3	131	0	121	160	143	631	
34.2	135	0	109	69	71	540	
121.6	152	0	112	82	76	571	
104.3	119	0	107	166	157	521	
69.6	166	1	89	58	54	521	
37.3	140	0	93	55	54	535	
75.4	125	0	109	90	81	586	
107.2	147	1	104	63	64	560	
92.3	126	0	118	97	97	542	
65.3	123	0	102	97	87	526	
127.2	150	0	100	109	98	531	
83.1	177	1	87	58	56	638	
56.6	133	0	104	51	47	599	
82.6	149	1	88	61	54	515	
115.1	145	1	104	82	74	560	
88	148	0	122	72	66	601	
54.2	141	0	109	56	54	523	
82.3	162	1	99	75	70	522	
103	136	0	121	95	96	574	
45.5	139	1	88	46	41	480	
50.8	126	0	104	106	97	599	
84.9	130	0	121	90	91	623	
