Table 17.10
Compensation,Productivity and Unemployment
rate, USA, 1960-1999

YEAR	COMPENS	PRODUC	UNRATE
	
1960	60	48.8	5.5	
1961	61.8	50.6	6.7	
1962	63.9	52.9	5.5	
1963	65.4	55	5.7	
1964	67.9	57.5	5.2	
1965	69.4	59.6	4.5	
1966	71.9	62	3.8	
1967	73.8	63.4	3.8	
1968	76.3	65.4	3.6	
1969	77.4	65.7	3.5	
1970	78.9	67	4.9	
1971	80.4	69.9	5.9	
1972	82.7	72.2	5.6	
1973	84.5	74.5	4.9	
1974	83.5	73.2	5.6	
1975	84.4	75.8	8.5	
1976	86.8	78.5	7.7	
1977	87.9	79.8	7.1	
1978	89.5	80.7	6.1	
1979	89.7	80.7	5.8	
1980	89.5	80.4	7.1	
1981	89.5	82	7.6	
1982	90.9	81.7	9.7	
1983	91	84.6	9.6	
1984	91.3	87	7.5	
1985	92.7	88.7	7.2	
1986	95.8	91.4	7	
1987	96.3	91.9	6.2	
1988	97.3	93	5.5	
1989	95.9	93.9	5.3	
1990	96.5	95.2	5.6	
1991	97.5	96.3	6.8	
1992	100	100	7.5	
1993	99.9	100.5	6.9	
1994	99.7	101.9	6.1	
1995	99.3	102.6	5.6	
1996	99.7	105.4	5.4	
1997	100.4	107.6	4.9	
1998	104.3	110.5	4.5	
1999	107.3	114	4.2	
