Productivity and related
data, business sector, 1959-1998

Y1 = output per hour, business sector
Y2 = output per hour, nonfarm business sector
X1 = compensation per hour, business sector
X2 = compensation per hour, nonfardm business

 Y1      Y2      X1      X2
50.5	54.2	13.1	13.7	
51.4	54.8	13.7	14.3	
53.2	56.6	14.2	14.8	
55.7	59.2	14.8	15.4	
57.9	61.2	15.4	15.9	
60.6	63.8	16.2	16.7	
62.7	65.8	16.8	17.2	
65.2	68	17.9	18.2	
66.6	69.2	18.9	19.3	
68.9	71.6	20.5	20.8	
69.2	71.7	21.9	22.2	
70.6	72.7	23.6	23.8	
73.6	75.7	25.1	25.4	
76	78.3	26.7	27	
78.4	80.7	29	29.2	
77.1	79.4	31.8	32.1	
79.8	81.6	35.1	35.3	
82.5	84.5	38.2	38.4	
84	85.8	41.2	41.5	
84.9	87	44.9	45.2	
84.5	86.3	49.2	49.5	
84.2	86	54.5	54.8	
85.8	87	59.6	60.2	
85.3	86.3	64.1	64.6	
88	89.9	66.8	67.3	
90.2	91.4	69.7	70.2	
91.7	92.3	73.1	73.4	
94.1	94.7	76.8	77.2	
94	94.5	79.8	80.1	
94.7	95.3	83.6	83.7	
95.5	95.8	85.9	86	
96.1	96.3	90.8	90.7	
96.7	97	95.1	95.1	
100	100	100	100	
100.1	100.1	102.5	102.2	
100.7	100.6	104.4	104.2	
101	101.2	106.8	106.7	
103.7	103.7	110.7	110.4	
105.4	105.1	114.9	114.5	
