Table 17.6
Inventories ans Sales, US Manufacturing, 1954-1999

YEAR  INVENTORY SALES	
1954	41612	23355	
1955	45069	26480	
1956	50642	27740	
1957	51871	28736	
1958	50203	27248	
1959	52913	30286	
1960	53786	30878	
1961	54871	30922	
1962	58172	33358	
1963	60029	35058	
1964	63410	37331	
1965	68207	40995	
1966	77986	44870	
1967	84646	46486	
1968	90560	50229	
1969	98145	53501	
1970	101599	52805	
1971	102567	55906	
1972	108121	63027	
1973	124499	72931	
1974	157625	84790	
1975	159708	86589	
1976	174636	98797	
1977	188378	113201	
1978	211691	126905	
1979	242157	143936	
1980	265215	154391	
1981	283413	168129	
1982	311852	163351	
1983	312379	172547	
1984	339516	190682	
1985	334749	194538	
1986	322654	194657	
1987	338109	206326	
1988	369374	224619	
1989	391212	236698	
1990	405073	242686	
1991	390905	239847	
1992	382510	250394	
1993	384039	260635	
1994	404877	279002	
1995	430985	299555	
1996	436729	309622	
1997	456133	327452	
1998	466798	337687	
1999	470377	354961	
