Table 14.4

    YSTAR		X1	         X2	

0.0224937604037	0.452255634387	0.226127817193	
0.0323852877496	0.473071993369	2.36535996685	
0.031581290982	0.497326913134	4.97326913134	
0.0296460117875	0.522825409228	7.84238113842	
0.030434623461	0.549631241172	10.9926248234	
0.0343996084643	0.577811437509	14.4452859377	
0.0410908896591	0.607436463409	18.2230939023	
0.0496559551406	0.638580396867	22.3503138903	
0.0592399769822	0.671321113939	26.8528445575	
0.0691859241891	0.705740483471	31.7583217562	
0.0940250948098	0.77996385804	42.8980121922	
0.099394181953	0.819953460176	49.1972076105	
