Table 10.14
Hours of work and other data for 35 groups

obs	HRS		RATE		ERSP		ERNO		NEIN		ASSET		AGE		DEP		SCHOOL							
																
1	 2157.000	 2.905000	 1121.000	 291.0000	 380.0000	 7250.000	 38.50000	 2.340000	 10.50000							
2	 2174.000	 2.970000	 1128.000	 301.0000	 398.0000	 7744.000	 39.30000	 2.335000	 10.50000							
3	 2062.000	 2.350000	 1214.000	 326.0000	 185.0000	 3068.000	 40.10000	 2.851000	 8.900000							
4	 2111.000	 2.511000	 1203.000	 49.00000	 117.0000	 1632.000	 22.40000	 1.159000	 11.50000							
5	 2134.000	 2.791000	 1013.000	 594.0000	 730.0000	 12710.00	 57.70000	 1.229000	 8.800000							
6	 2185.000	 3.040000	 1135.000	 287.0000	 382.0000	 7706.000	 38.60000	 2.602000	 10.70000							
7	 2210.000	 3.222000	 1100.000	 295.0000	 474.0000	 9338.000	 39.00000	 2.187000	 11.20000							
8	 2105.000	 2.493000	 1180.000	 310.0000	 255.0000	 4730.000	 39.90000	 2.616000	 9.300000							
9	 2267.000	 2.838000	 1298.000	 252.0000	 431.0000	 8317.000	 38.90000	 2.024000	 11.10000							
10	 2205.000	 2.356000	 885.0000	 264.0000	 373.0000	 6789.000	 38.80000	 2.662000	 9.500000							
11	 2121.000	 2.922000	 1251.000	 328.0000	 312.0000	 5907.000	 39.80000	 2.287000	 10.30000							
12	 2109.000	 2.499000	 1207.000	 347.0000	 271.0000	 5069.000	 39.70000	 3.193000	 8.900000							
13	 2108.000	 2.796000	 1036.000	 300.0000	 259.0000	 4614.000	 38.20000	 2.040000	 9.200000							
14	 2047.000	 2.453000	 1213.000	 297.0000	 139.0000	 1987.000	 40.30000	 2.545000	 9.100000							
15	 2174.000	 3.582000	 1141.000	 414.0000	 498.0000	 10239.00	 40.00000	 2.064000	 11.70000							
16	 2067.000	 2.909000	 1805.000	 290.0000	 239.0000	 4439.000	 39.10000	 2.301000	 10.50000							
17	 2159.000	 2.511000	 1075.000	 289.0000	 308.0000	 5621.000	 39.30000	 2.486000	 9.500000							
18	 2257.000	 2.516000	 1093.000	 176.0000	 392.0000	 7293.000	 37.90000	 2.042000	 10.10000							
19	 1985.000	 1.423000	 553.0000	 381.0000	 146.0000	 1866.000	 40.60000	 3.833000	 6.600000							
20	 2184.000	 3.636000	 1091.000	 291.0000	 560.0000	 11240.00	 39.10000	 2.328000	 11.60000							
21	 2084.000	 2.983000	 1327.000	 331.0000	 296.0000	 5653.000	 39.80000	 2.208000	 10.20000							
22	 2051.000	 2.573000	 1194.000	 279.0000	 172.0000	 2806.000	 40.00000	 2.362000	 9.100000							
23	 2127.000	 3.262000	 1226.000	 314.0000	 408.0000	 8042.000	 39.50000	 2.259000	 10.80000							
24	 2102.000	 3.234000	 1188.000	 414.0000	 352.0000	 7557.000	 39.80000	 2.019000	 10.70000							
25	 2098.000	 2.280000	 973.0000	 364.0000	 272.0000	 4400.000	 40.60000	 2.661000	 8.400000							
26	 2042.000	 2.304000	 1085.000	 328.0000	 140.0000	 1739.000	 41.80000	 2.444000	 8.200000							
27	 2181.000	 2.912000	 1072.000	 304.0000	 383.0000	 7340.000	 39.00000	 2.337000	 10.20000							
28	 2186.000	 3.015000	 1122.000	 30.00000	 352.0000	 7292.000	 37.20000	 2.046000	 10.90000							
29	 2188.000	 3.010000	 990.0000	 366.0000	 374.0000	 7325.000	 38.40000	 2.847000	 10.60000							
30	 2077.000	 1.901000	 350.0000	 209.0000	 95.00000	 1370.000	 37.40000	 4.158000	 8.200000							
31	 2196.000	 3.009000	 947.0000	 294.0000	 342.0000	 6888.000	 37.50000	 3.047000	 10.60000							
32	 2093.000	 1.899000	 342.0000	 311.0000	 120.0000	 1425.000	 37.50000	 4.512000	 8.100000							
33	 2173.000	 2.959000	 1116.000	 296.0000	 387.0000	 7625.000	 39.20000	 2.342000	 10.50000							
34	 2179.000	 2.971000	 1128.000	 312.0000	 397.0000	 7779.000	 39.40000	 2.341000	 10.50000							
35	 2200.000	 2.980000	 1126.000	 204.0000	 393.0000	 7885.000	 39.20000	 2.341000	 10.60000							
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
