Table 6.5

Inflation rate and Unemployment 
rate, US, 1960-1998

YEAR  INFLRATE UNRATE	

1960	1.7	5.5	
1961	1	6.7	
1962	1	5.5	
1963	1.3	5.7	
1964	1.3	5.2	
1965	1.6	4.5	
1966	2.9	3.8	
1967	3.1	3.8	
1968	4.2	3.6	
1969	5.5	3.5	
1970	5.7	4.9	
1971	4.4	5.9	
1972	3.2	5.6	
1973	6.2	4.9	
1974	11	5.6	
1975	9.1	8.5	
1976	5.8	7.7	
1977	6.5	7.1	
1978	7.6	6.1	
1979	11.3	5.8	
1980	13.5	7.1	
1981	10.3	7.6	
1982	6.2	9.7	
1983	3.2	9.6	
1984	4.3	7.5	
1985	3.6	7.2	
1986	1.9	7	
1987	3.6	6.2	
1988	4.1	5.5	
1989	4.8	5.3	
1990	5.4	5.6	
1991	4.2	6.8	
1992	3	7.5	
1993	3	6.9	
1994	2.6	6.1	
1995	2.8	5.6	
1996	3	5.4	
1997	2.3	4.9	
1998	1.6	4.5	
