Table 16.1
Investment data for four companies,1935-1954

Y = gross investment
X2 = value of firm 
X3 = capital (stock of plant and equipment)

obs		  Y               X2              X3	
					
_GE-1935	 33.10000	 1170.600	 97.80000		
_GE-1936	 45.00000	 2015.800	 104.4000		
_GE-1937	 77.20000	 2803.300	 118.0000		
_GE-1938	 44.60000	 2039.700	 156.2000		
_GE-1939	 48.10000	 2256.200	 172.6000		
_GE-1940	 74.40000	 2132.200	 186.6000		
_GE-1941	 113.0000	 1834.100	 220.9000		
_GE-1942	 91.90000	 1588.000	 287.8000		
_GE-1943	 61.30000	 1749.400	 319.9000		
_GE-1944	 56.80000	 1687.200	 321.3000		
_GE-1945	 93.60000	 2007.700	 319.6000		
_GE-1946	 159.9000	 2208.300	 346.0000		
_GE-1947	 147.2000	 1656.700	 456.4000		
_GE-1948	 146.3000	 1604.400	 543.4000		
_GE-1949	 98.30000	 1431.800	 618.3000		
_GE-1950	 93.50000	 1610.500	 647.4000		
_GE-1951	 135.2000	 1819.400	 671.3000		
_GE-1952	 157.3000	 2079.700	 726.1000		
_GE-1953	 179.5000	 2371.600	 800.3000		
_GE-1954	 189.6000	 2759.900	 888.9000		
_GM-1935	 317.6000	 3078.500	 2.800000		
_GM-1936	 391.8000	 4661.700	 52.60000		
_GM-1937	 410.6000	 5387.100	 156.9000		
_GM-1938	 257.7000	 2792.200	 209.2000		
_GM-1939	 330.8000	 4313.200	 203.4000		
_GM-1940	 461.2000	 4643.900	 207.2000		
_GM-1941	 512.0000	 4551.200	 255.2000		
_GM-1942	 448.0000	 3244.100	 303.7000		
_GM-1943	 499.6000	 4053.700	 264.1000		
_GM-1944	 547.5000	 4379.300	 201.6000		
_GM-1945	 561.2000	 4840.900	 265.0000		
_GM-1946	 688.1000	 4900.000	 402.2000		
_GM-1947	 568.9000	 3526.500	 761.5000		
_GM-1948	 529.2000	 3245.700	 922.4000		
_GM-1949	 555.1000	 3700.200	 1020.100		
_GM-1950	 642.9000	 3755.600	 1099.000		
_GM-1951	 755.9000	 4833.000	 1207.700		
_GM-1952	 891.2000	 4924.900	 1430.500		
_GM-1953	 1304.400	 6241.700	 1777.300		
_GM-1954	 1486.700	 5593.600	 2226.300		
_US-1935	 209.9000	 1362.400	 53.80000		
_US-1936	 355.3000	 1807.100	 50.50000		
_US-1937	 469.9000	 2673.300	 118.1000		
_US-1938	 262.3000	 1801.900	 260.2000		
_US-1939	 230.4000	 1957.300	 312.7000		
_US-1940	 361.6000	 2202.900	 254.2000		
_US-1941	 472.8000	 2380.500	 261.4000		
_US-1942	 445.6000	 2168.600	 298.7000		
_US-1943	 361.6000	 1985.100	 301.8000		
_US-1944	 288.2000	 1813.900	 279.1000		
_US-1945	 258.7000	 1850.200	 213.8000		
_US-1946	 420.3000	 2067.700	 232.6000		
_US-1947	 420.5000	 1796.700	 264.8000		
_US-1948	 494.5000	 1625.800	 306.9000		
_US-1949	 405.1000	 1667.000	 351.1000		
_US-1950	 418.8000	 1677.400	 357.8000		
_US-1951	 588.2000	 2289.500	 341.1000		
_US-1952	 645.2000	 2159.400	 444.2000		
_US-1953	 641.0000	 2031.300	 623.6000		
_US-1954	 459.3000	 2115.500	 669.7000		
_WEST-1935	 12.93000	 191.5000	 1.800000		
_WEST-1936	 25.90000	 516.0000	 0.800000		
_WEST-1937	 35.05000	 729.0000	 7.400000		
_WEST-1938	 22.89000	 560.4000	 18.10000		
_WEST-1939	 18.84000	 519.9000	 23.50000		
_WEST-1940	 28.57000	 628.5000	 26.50000		
_WEST-1941	 48.51000	 537.1000	 36.20000		
_WEST-1942	 43.34000	 561.2000	 60.80000		
_WEST-1943	 37.02000	 617.2000	 84.40000		
_WEST-1944	 37.81000	 626.7000	 91.20000		
_WEST-1945	 39.27000	 737.2000	 92.40000		
_WEST-1946	 53.46000	 760.5000	 86.00000		
_WEST-1947	 55.56000	 581.4000	 111.1000		
_WEST-1948	 49.56000	 662.3000	 130.6000		
_WEST-1949	 32.04000	 583.8000	 141.8000		
_WEST-1950	 32.24000	 635.2000	 136.7000		
_WEST-1951	 54.38000	 732.8000	 129.7000		
_WEST-1952	 71.78000	 864.1000	 145.5000		
_WEST-1953	 90.08000	 1193.500	 174.8000		
_WEST-1954	 68.60000	 1188.900	 213.5000		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
