Table 18.2

PCE,GPDI and GDP, USA, 1970-1999

obs	PCE		GPDI		GDP		
					
1970	 2317.500	 436.2000	 3578.000		
1971	 2405.200	 485.8000	 3697.700		
1972	 2550.500	 543.0000	 3998.400		
1973	 2675.900	 606.5000	 4123.400		
1974	 2653.700	 561.7000	 4099.000		
1975	 2710.900	 462.2000	 4084.400		
1976	 2868.900	 555.5000	 4311.700		
1977	 2992.100	 639.4000	 4511.800		
1978	 3124.700	 713.0000	 4760.600		
1979	 3203.200	 735.4000	 4912.100		
1980	 3193.000	 655.3000	 4900.900		
1981	 3236.000	 715.6000	 5021.000		
1982	 3275.500	 615.2000	 4913.300		
1983	 3454.300	 673.7000	 5132.300		
1984	 3640.600	 871.5000	 5505.200		
1985	 3820.900	 863.4000	 5717.100		
1986	 3981.200	 857.7000	 5912.400		
1987	 4113.400	 879.3000	 6113.300		
1988	 4279.500	 902.8000	 6368.400		
1989	 4393.700	 936.5000	 6591.900		
1990	 4474.500	 907.3000	 6707.900		
1991	 4466.600	 829.5000	 6676.400		
1992	 4594.500	 899.8000	 6880.000		
1993	 4748.900	 977.9000	 7062.600		
1994	 4928.100	 1107.000	 7347.700		
1995	 5075.600	 1140.600	 7543.800		
1996	 5237.500	 1242.700	 7813.200		
1997	 5423.900	 1393.300	 8159.500		
1998	 5678.700	 1566.800	 8515.700		
1999	 5978.800	 1669.700	 8875.800		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
