Table 6.3
Total peresonal expenditure and categories
(all figures in billions of dollars)

Y1 = expenditure on services
Y2 = expenditure on durable goods
Y3 = expenditure on non-durable goods
X = total personal consumption expenditure

obs	Y1	Y2	Y3      X

1993:1	2445.3	504	1337.5	4286.8
1993:2	2455.9	519.3	1347.8	4322.8
1993:3	2480	529.9	1356.8	4366.6
1993:4	2494.4	542.1	1361.8	4398
1994:1	2510.9	550.7	1378.4	4439.4
1994:2	2531.4	558.8	1385.5	4472.2
1994:3	2543.8	561.7	1393.2	4498.2
1994:4	2555.9	576.6	1402.5	4534.1
1995:1	2570.4	575.2	1410.4	4555.3
1995:2	2594.8	583.5	1415.9	4593.6
1995:3	2610.3	595.3	1418.5	4623.4
1995:4	2622.9	602.4	1425.6	4650
1996:1	2648.5	611	1433.5	4692.1
1996:2	2668.4	629.5	1450.4	4746.6
1996:3	2688.1	626.5	1454.7	4768.3
1996:4	2701.7	637.5	1465.1	4802.6
1997:1	2722.1	656.3	1477.9	4853.4
1997:2	2743.6	653.8	1477.1	4872.7
1997:3	2775.4	679.6	1495.7	4947
1997:4	2804.8	648.8	1494.3	4981
1998:1	2829.3	710.3	1521.2	5055.1
1998:2	2866.8	729.4	1540.9	5130.2
1998:3	2904.8	733.7	1549.1	5181.8
